X	Y	Z	Dist
8.366	964.778	75.121	0.000
20.445	964.812	75.130	12.079
32.527	964.849	75.143	12.081
44.609	964.886	75.152	12.083
56.693	964.922	75.164	12.084
68.777	964.956	75.171	12.084
80.858	964.991	75.171	12.081
92.943	965.026	75.168	12.085
105.028	965.062	75.168	12.086
117.115	965.098	75.168	12.087
129.203	965.134	75.171	12.088
141.290	965.171	75.177	12.087
153.377	965.207	75.180	12.088
165.467	965.244	75.186	12.090
165.344	964.506	75.161	0.000
177.433	964.557	75.171	12.089
189.521	964.606	75.186	12.088
201.607	964.654	75.199	12.086
213.695	964.707	75.205	12.088
225.783	964.763	75.208	12.088
237.872	964.818	75.196	12.090
249.962	964.872	75.190	12.090
262.047	964.925	75.190	12.085
274.132	964.977	75.183	12.086
286.217	965.029	75.190	12.086
298.303	965.082	75.202	12.086
310.389	965.133	75.196	12.086
322.475	965.187	75.202	12.086
322.496	964.626	75.165	0.000
334.582	964.668	75.153	12.086
346.670	964.711	75.157	12.088
358.758	964.754	75.150	12.088
370.845	964.796	75.150	12.088
382.932	964.835	75.150	12.087
395.017	964.874	75.138	12.086
407.103	964.915	75.123	12.086
419.188	964.958	75.120	12.086
431.272	965.000	75.108	12.083
443.353	965.042	75.105	12.081
455.433	965.082	75.112	12.080
467.514	965.122	75.112	12.081
479.596	965.161	75.116	12.082
479.306	964.633	75.078	0.000
491.388	964.670	75.078	12.083
503.470	964.707	75.090	12.081
515.551	964.746	75.093	12.081
527.633	964.787	75.097	12.081
539.713	964.827	75.093	12.081
551.793	964.866	75.082	12.079
563.872	964.905	75.078	12.079
575.948	964.944	75.078	12.077
588.024	964.984	75.075	12.076
600.102	965.023	75.075	12.078
612.181	965.060	75.082	12.079
624.261	965.098	75.086	12.080
636.342	965.138	75.090	12.081
636.614	964.557	75.052	0.000
648.695	964.603	75.052	12.081
660.777	964.649	75.063	12.082
672.861	964.692	75.078	12.083
684.944	964.737	75.082	12.084
697.028	964.784	75.078	12.083
709.112	964.830	75.075	12.084
721.196	964.875	75.071	12.085
733.280	964.920	75.067	12.084
745.364	964.964	75.067	12.084
757.448	965.010	75.071	12.084
769.535	965.055	75.075	12.087
781.620	965.098	75.086	12.086
793.706	965.142	75.093	12.085
793.664	964.748	75.056	0.000
805.745	964.771	75.071	12.081
817.826	964.796	75.090	12.081
829.907	964.821	75.105	12.081
841.989	964.847	75.116	12.082
854.072	964.872	75.120	12.083
866.153	964.896	75.120	12.081
878.234	964.923	75.120	12.081
890.312	964.950	75.124	12.079
902.391	964.973	75.127	12.079
914.469	964.996	75.142	12.078
926.545	965.020	75.157	12.076
938.622	965.046	75.165	12.077
950.700	965.072	75.176	12.078
950.752	964.385	75.146	0.000
962.831	964.428	75.154	12.079
974.911	964.469	75.172	12.080
986.990	964.512	75.184	12.079
999.072	964.555	75.202	12.082
1011.155	964.598	75.214	12.083
1023.239	964.639	75.217	12.084
1035.322	964.680	75.221	12.083
1047.404	964.724	75.225	12.081
1059.487	964.769	75.229	12.083
1071.572	964.814	75.236	12.085
1083.657	964.856	75.247	12.086
1095.742	964.898	75.262	12.085
1107.826	964.939	75.277	12.084
1107.377	984.931	75.288	0.000
1119.465	984.969	75.288	12.088
1131.552	985.007	75.292	12.087
1143.639	985.044	75.296	12.088
1155.727	985.081	75.296	12.088
1167.814	985.118	75.296	12.087
1179.904	985.157	75.303	12.090
1191.995	985.197	75.307	12.090
1204.086	985.237	75.307	12.092
1216.180	985.276	75.303	12.094
1228.274	985.316	75.292	12.094
1240.369	985.357	75.277	12.095
