X	Y	Z	Dist_back
165.674	965.202	75.191	0.000
153.584	965.158	75.188	12.090
141.497	965.115	75.188	12.088
129.411	965.072	75.180	12.086
117.324	965.029	75.177	12.087
105.237	964.986	75.177	12.087
93.151	964.944	75.177	12.086
81.067	964.902	75.180	12.084
68.986	964.860	75.180	12.081
56.902	964.819	75.177	12.083
44.818	964.776	75.165	12.084
32.736	964.733	75.154	12.082
20.655	964.690	75.143	12.081
8.575	964.649	75.135	12.080
322.333	965.203	75.195	0.000
310.247	965.148	75.191	12.086
298.161	965.094	75.188	12.086
286.076	965.038	75.180	12.085
273.989	964.984	75.173	12.087
261.903	964.929	75.176	12.086
249.818	964.873	75.180	12.086
237.729	964.817	75.188	12.089
225.639	964.758	75.199	12.090
213.550	964.700	75.203	12.089
201.462	964.645	75.195	12.088
189.376	964.593	75.184	12.086
177.287	964.542	75.169	12.089
165.198	964.487	75.161	12.089
479.520	965.193	75.116	0.000
467.437	965.154	75.113	12.083
455.356	965.113	75.109	12.081
443.277	965.072	75.105	12.079
431.194	965.030	75.105	12.082
419.110	964.988	75.113	12.084
407.026	964.945	75.124	12.085
394.939	964.903	75.131	12.086
382.853	964.863	75.143	12.086
370.768	964.824	75.146	12.085
358.681	964.782	75.146	12.087
346.594	964.738	75.150	12.087
334.507	964.694	75.154	12.087
322.421	964.651	75.150	12.087
636.719	965.168	75.098	0.000
624.638	965.128	75.098	12.081
612.558	965.088	75.090	12.080
600.480	965.049	75.083	12.079
588.402	965.010	75.079	12.078
576.325	964.969	75.083	12.077
564.249	964.929	75.083	12.076
552.169	964.890	75.090	12.080
540.090	964.849	75.098	12.079
528.009	964.809	75.101	12.081
515.927	964.768	75.094	12.082
503.846	964.728	75.094	12.081
491.764	964.689	75.086	12.081
479.681	964.651	75.075	12.083
793.713	965.147	75.116	0.000
781.628	965.106	75.105	12.085
769.542	965.064	75.098	12.086
757.456	965.021	75.090	12.086
745.371	964.978	75.083	12.085
733.288	964.936	75.086	12.083
721.204	964.894	75.086	12.084
709.120	964.852	75.090	12.084
697.036	964.808	75.098	12.084
684.952	964.763	75.098	12.083
672.870	964.721	75.090	12.083
660.786	964.680	75.079	12.084
648.703	964.637	75.068	12.082
636.623	964.593	75.060	12.081
950.662	964.838	75.199	0.000
938.585	964.787	75.191	12.077
926.509	964.735	75.184	12.077
914.433	964.686	75.165	12.076
902.355	964.637	75.154	12.078
890.277	964.588	75.142	12.078
878.198	964.535	75.150	12.079
866.118	964.484	75.146	12.081
854.037	964.433	75.150	12.081
841.955	964.383	75.139	12.082
829.873	964.331	75.135	12.082
817.793	964.280	75.116	12.080
805.711	964.229	75.101	12.082
793.631	964.179	75.086	12.081
1107.823	964.935	75.285	0.000
1095.739	964.892	75.270	12.084
1083.654	964.850	75.259	12.085
1071.570	964.807	75.247	12.085
1059.485	964.762	75.244	12.085
1047.401	964.716	75.244	12.083
1035.320	964.672	75.244	12.082
1023.237	964.630	75.236	12.083
1011.153	964.588	75.229	12.083
999.069	964.545	75.214	12.084
986.987	964.501	75.202	12.082
974.908	964.458	75.187	12.079
962.828	964.415	75.169	12.080
950.750	964.372	75.161	12.079
1240.371	985.359	75.273	0.000
1228.277	985.318	75.288	12.094
1216.183	985.279	75.300	12.094
1204.090	985.239	75.303	12.094
1191.998	985.200	75.303	12.092
1179.908	985.160	75.296	12.090
1167.818	985.121	75.296	12.090
1155.731	985.084	75.288	12.088
1143.643	985.048	75.288	12.088
1131.555	985.012	75.288	12.088
1119.468	984.974	75.285	12.088
1107.380	984.938	75.281	12.088
